uid,region,severity,abundance
fqfk,south,1,3.558
fqfo,south,3,446.6000061
fqfw,south,1,4.647
fqkb,south,4,1277.278
fqlc,northeast,2,65.533
fqlt,west,3,592.394
fqmd,south,2,48.797
fqmv,midwest,1,0.173315136
fqnf,south,3,596.402
fqnz,midwest,1,3.243763612
fqog,west,4,1408.0
fqps,south,1,4.383
fqpz,south,1,2.098
fqqx,south,1,5.126
fqsb,midwest,2,70.144
fqsz,south,2,68.741
fqts,south,1,9.028
fquw,midwest,1,15.1816
fqvf,west,4,5980.0
fqwd,northeast,1,1.257739274
fqwk,south,1,0.626
fqym,south,3,293.632
fqzf,south,1,16.338
fraw,south,2,51.863
frbe,northeast,3,188.467
frdt,west,4,5418.581
frfm,west,4,3825.0
frgp,northeast,2,76.6665
frif,west,4,6287.5
frjk,northeast,3,260.2
frjs,south,1,5.89
frka,northeast,1,0.069922481
frkm,south,1,8.327
frko,south,3,279.709
frpg,west,3,191.808
frpy,midwest,2,77.56635024
frqe,west,4,4822.6415
frre,west,4,2099.5
frrq,south,1,0.125
frrr,south,2,22.54
frrv,west,4,2810.1245
frsi,west,4,4605.0
frsr,west,2,50.5856
frti,northeast,3,475.467
frvg,northeast,1,1.3335
frvj,south,1,15.64999962
frvq,midwest,3,258.93
frxr,northeast,2,21.933
fryk,midwest,1,10.7403823
fryq,west,4,4135.84575
fsai,west,1,6.26
fsbb,midwest,2,28.663
fsdn,west,3,224.38
fsei,south,1,5.083
fseq,south,2,53.25
fsfh,midwest,3,507.15
fsgo,south,2,35.788
fshd,midwest,4,1127.07
fsjd,south,3,359.681
fskh,midwest,3,112.14
fskq,south,1,0.508
fsoa,south,1,3.812
fspt,west,4,2520.296
fsro,south,2,21.784
fsru,midwest,3,552.314
fssa,south,1,1.456
fsus,northeast,2,77.7114
fsyh,south,1,8.561
fsze,south,2,29.046
ftam,midwest,2,49.41102941
ftcx,midwest,1,13.90126201
ftdi,south,1,0.482
ftdv,midwest,1,0.0
ftem,west,4,1973.204
ftgb,south,1,2.234
fthb,midwest,2,33.90824943
fthg,south,2,87.681
ftht,west,4,1846.93325
ftkt,west,4,1569.398
ftlg,south,1,6.971
ftlj,midwest,3,475.65
ftlw,south,1,8.602
ftph,west,3,930.50025
ftqn,northeast,1,0.152622673
ftss,south,3,302.62
fttq,south,1,3.873
fttx,south,3,314.66
ftxw,south,1,0.635
ftyb,midwest,1,10.814
ftyx,south,1,0.207261029
ftzb,south,1,0.626
ftzz,northeast,5,10771.333
fuah,northeast,3,125.333
fuai,west,4,4567.5
fubc,south,3,154.0
fube,midwest,1,0.380590717
fubs,west,4,2085.76224
fucg,west,4,4860.0
fudu,south,1,1.758
fueo,south,1,5.362
fufz,west,4,3702.5
fugh,south,1,3.506
fuij,midwest,1,0.132691841
fuim,south,1,3.485
fujv,west,4,3046.953333
fukn,midwest,2,66.465
fukp,midwest,1,1.887964444
fulk,south,2,42.116
fumq,south,4,1061.131
funh,south,1,12.102
funl,south,2,39.212
fupn,midwest,3,208.53
fuqe,south,1,5.809
fuqh,west,4,5597.5
furm,west,3,136.2982518
fusp,south,1,2.29
fuue,west,4,6087.5
fuus,northeast,4,2881.333
fuvs,west,4,5247.5
fuwg,south,1,14.523
fuyt,west,4,7370.0
fuyu,west,4,2710.0
fvaq,south,1,3.921
fvav,west,3,542.662
fvbd,south,2,59.906
fvby,south,3,271.576
fvdl,south,1,2.905
fvdx,south,2,38.819
fveb,west,4,1381.466663
fvfl,south,1,9.803
fvft,south,1,6.39
fvfw,south,1,14.704
fvgk,south,2,48.797
fvib,midwest,3,402.363
fvki,south,1,1.584
fvmo,south,2,69.30000019
fvmu,south,3,140.456
fvng,northeast,1,1.463901639
fvnx,west,4,6177.5
fvow,west,4,5837.5
fvoy,west,4,2081.625
fvrq,south,2,41.632
fvuk,south,1,1.694
fvyu,west,4,7852.5
fvyy,south,2,60.996
fvzq,midwest,1,0.409123443
fwbc,south,1,1.229
fwbp,south,3,573.166
fwcd,northeast,1,5.303425926
fwcg,south,1,3.822
fwci,west,4,5830.0
fwco,west,2,39.161
fweb,west,3,971.08
fwfw,west,4,7097.5
fwgb,south,1,6.432
fwia,midwest,2,20.313
fwir,south,2,26.923
fwjq,west,4,8327.5
fwjw,west,4,4172.5
fwki,midwest,1,0.755558893
fwku,northeast,2,39.676
fwky,south,1,4.979
fwlv,south,1,1.779
fwnx,west,3,614.5
fwog,west,4,2585.426
fwow,south,1,0.871
fwrd,west,4,5557.5
fwrt,west,3,626.66
fwwl,west,4,3692.5
fwwx,south,1,5.809
fwxc,northeast,3,235.267
fwyx,south,2,25.402
fwzq,midwest,1,1.543047863
fxar,midwest,1,7.775862069
fxax,south,1,3.776
fxaz,midwest,2,68.0
fxbp,south,1,3.147
fxbz,south,1,0.69
fxdi,south,3,766.526
fxdx,south,3,172.431
fxec,northeast,3,111.333
fxfv,south,1,3.066
fxgj,midwest,2,42.817
fxjd,south,1,14.523
fxjv,midwest,2,38.277
fxkj,west,4,3800.1005
fxlo,midwest,3,355.279
fxnp,south,1,0.854
fxnv,west,4,4645.0
fxok,south,1,1.162
fxqt,south,2,41.229
fxse,west,4,8210.0
fxsr,west,3,846.455
fxvd,northeast,1,18.954
fxvj,south,3,140.249
fxvz,south,2,43.836
fxwp,northeast,1,13.4784
fxxt,west,4,1414.986667
fxyd,south,1,1.525
fxyt,south,1,13.278
fxzf,west,4,2397.27325
fyav,west,4,4290.0
fybj,west,4,6730.0
fydh,midwest,2,39.06
fyeo,midwest,1,6.460378333
fygo,south,1,9.843
fyhb,midwest,1,0.380789641
fyhp,northeast,1,0.0
fyjv,west,4,4402.553
fykt,south,1,6.809
fypx,south,2,87.146
fyqh,south,1,4.066
fyrr,south,1,8.568
fyxx,south,1,2.069
fzao,south,1,0.83
fzaq,south,1,0.939
fzbg,south,1,11.618
fzdr,south,3,117.8605
fzeg,south,1,2.5
fzfa,south,2,75.518
fzff,south,2,55.599
fzfo,northeast,3,595.2
fzgr,midwest,3,483.21
fzgu,south,1,5.112
fzit,midwest,1,0.318805972
fzjh,west,4,4242.5
fzlp,south,1,10.166
fzmt,south,2,59.087
fznh,south,1,0.545
fzon,midwest,2,28.73549442
fzoo,west,4,1426.112
fzsd,south,2,22.328
fzsk,midwest,1,12.66140741
fzsn,west,4,2917.589
fztf,south,1,10.948
fzuh,south,1,2.905
fzwj,west,4,3572.1455
fzxa,south,1,3.631
fzyr,south,2,36.307
fzyu,midwest,3,330.91
fzyx,south,2,98.887
fzzi,west,4,4400.0
gaaa,south,2,24.792
gabr,west,4,1360.982
gadn,west,4,2162.5
gafo,south,2,83.314
gagn,south,2,40.664
gahp,south,2,42.479
gahy,south,1,0.182
gajv,south,2,76.809
gamt,midwest,1,0.189495798
ganf,west,4,3305.1125
gaof,south,2,62.232
gaog,northeast,1,3.2
gaom,midwest,2,66.78
garm,west,5,12267.75274
gass,west,4,1900.35333
gasu,midwest,1,0.169049878
gatq,south,1,15.249
gatt,south,3,493.583
gawk,south,1,1.452
gawz,south,1,0.073
gaxg,midwest,3,124.425
gaxt,northeast,2,35.1702
gayh,south,4,1049.271
gayk,northeast,3,199.133
gbbd,west,4,3375.0
gbcj,midwest,1,1.503333333
gbcp,midwest,2,49.77
gbfz,south,1,0.55
gbhc,midwest,4,3279.779
gbhv,west,4,1082.5
gbio,south,1,0.415
gbkm,south,1,9.682
gbms,midwest,1,5.5
gbmw,south,2,66.588
gbnz,northeast,1,0.103827338
gbpb,south,2,39.212
gbpi,south,2,22.873
gbqr,south,2,46.138
gbrf,south,1,2.905
gbrl,south,1,14.523
gbrw,northeast,3,131.333
gbse,south,1,2.641
gbsm,west,4,7070.0
gbth,south,1,18.008
gbtp,south,1,8.396
gbts,midwest,2,64.89
gbud,midwest,2,32.609
gbuf,west,4,3259.5215
gbuk,midwest,1,0.386713036
gbum,south,1,6.777
gbvz,west,4,5067.5
gbwl,west,1,2.521264146
gbxt,south,3,867.736
gcet,west,4,5700.0
gcgj,midwest,1,0.593685205
gcid,northeast,1,8.333
gcjb,west,4,7155.0
gcjt,south,2,56.639
gcjz,west,4,1615.75
gckn,south,1,5.545
gckx,south,1,1.753
gcnj,west,4,4492.5
gcqh,south,2,31.466
gcqi,south,2,96.479
gcrr,west,3,279.824
gctd,west,4,8809.53379
gcti,south,1,2.033
gcus,south,2,20.332
gcvd,south,1,2.641
gcyg,south,3,199.253
gczk,west,4,1240.4915
gczu,west,4,2969.693
gdae,west,4,1521.67
gdam,west,4,4830.0
gdas,south,1,4.335
gdbo,south,1,6.535
gdcb,west,4,4223.4455
gddf,south,1,15.64
gdeu,midwest,3,315.0
gdgo,south,1,19.364
gdgt,south,1,1.089
gdiy,south,1,1.874
gdjf,west,4,6540.0
gdjq,south,1,10.65
gdlp,west,4,1227.75
gdno,south,1,7.443
gdpk,south,1,7.922
gdrd,west,4,5852.5
gdrs,west,4,2617.991
gdvk,south,3,218.568
gdvn,south,2,23.6
gdwo,northeast,2,51.333
gdxr,midwest,1,1.416
gebe,south,1,2.526
gedb,midwest,3,814.041
gedk,south,1,18.153
gedz,west,4,1660.0
geeb,south,2,24.398
gegm,midwest,3,168.525
gegz,south,1,3.942
geim,northeast,1,0.268387102
gejl,midwest,2,29.19737013
geke,south,1,1.51
gelp,midwest,2,30.87
gemm,south,1,1.5
gemo,south,3,121.991
genl,south,1,1.162
geol,south,1,0.29
gepj,south,2,76.245
gepk,midwest,2,63.315
geqf,northeast,1,0.039423077
geqr,south,1,4.066
gess,south,1,11.618
gety,south,1,6.697
gevf,northeast,3,173.3238
gevz,south,2,52.282
gewb,south,1,5.228
gewd,south,1,10.71
gewl,northeast,1,14.45512821
gewn,midwest,3,115.831
gewv,west,3,120.75
gfbq,south,1,0.363
gfca,northeast,2,44.31075
gfcd,south,2,61.631
gfcy,west,4,6677.5
gfdr,west,4,1722.4535
gfee,northeast,1,1.267
gffr,northeast,2,30.733
gfgn,south,1,1.503
gfgp,west,4,6562.5
gfhq,south,2,44.294
gfkm,south,1,7.261
gflk,south,1,1.271
gfmu,west,4,3044.5925
gfnb,midwest,1,3.476396396
gfnj,south,2,51.265
gfpx,south,2,37.891
gfqq,south,2,31.369
gfrc,west,4,3679.61
gfrg,south,1,1.452
gfrm,south,2,29.046
gfsp,south,1,0.792
gfut,south,2,54.896
gfvb,west,3,927.8675
gfvz,south,1,1.21
gfwh,south,2,21.784
gfxa,south,2,41.427
gfxi,south,1,2.113
gfyb,west,4,4592.5
gfye,south,1,2.734
gfyp,south,3,323.0
gfyx,west,4,5252.5
gfzn,south,1,2.408
ggaz,west,4,4502.5
ggbk,west,4,3877.5
ggcf,west,4,5150.0
ggch,west,3,302.6195
ggcq,midwest,1,1.044598291
gggp,northeast,1,1.933
ggls,south,1,0.059
ggmi,south,1,5.809
ggny,south,1,19.012
ggnz,west,4,2915.0
ggoj,west,4,6197.5
ggqe,west,4,2650.0
ggsn,south,3,716.699
ggtm,south,2,20.108
ggul,west,4,4667.5
ggvt,midwest,1,2.082313725
ggwv,south,1,1.162
ggxl,south,2,37.536
ggyp,west,4,3230.0
ggzn,west,4,1677.166583
ghcd,south,1,7.012
ghdo,south,3,502.488
ghdz,south,1,14.523
gheg,south,1,15.027
ghgn,northeast,3,848.2968
ghhu,south,1,17.911
ghim,south,1,0.581
ghin,west,4,2675.0
ghjg,west,3,507.779
ghjh,midwest,1,2.024
ghks,midwest,4,1618.899
ghlx,south,1,3.266
ghmz,west,4,2265.0
ghnj,northeast,1,0.030066667
ghnm,south,2,35.911
ghoo,south,2,87.137
ghoz,midwest,2,47.51607143
ghpb,northeast,1,16.2162
ghpt,south,1,2.784
ghsf,midwest,1,0.267363909
ghsg,south,1,10.0
ghth,south,1,0.145
ghvu,west,4,6640.0
ghwg,south,2,38.727
ghwh,south,1,5.809
ghwo,south,1,2.905
ghww,northeast,2,22.667
ghwx,south,1,0.375
ghxi,south,1,1.544
ghyj,south,1,12.264
ghza,south,1,7.922
ghzw,south,1,0.581
ghzx,west,4,1888.535
giab,south,1,1.743
giao,northeast,2,70.1298
gibm,south,2,45.021
giby,west,4,7475.0
gidl,south,2,52.04
gieb,west,3,540.344
giel,west,4,4991.9795
gifa,midwest,1,4.1
gifj,south,1,10.771
giha,west,4,5610.0
gihz,south,3,564.452
giip,midwest,3,310.275
giiw,south,2,21.131
gikd,west,4,1965.25
gikw,south,2,26.556
gilq,midwest,4,1241.415
gimh,south,1,10.456
gipn,south,1,0.317
giqa,south,2,54.218
givz,west,4,2578.913
gixu,south,2,28.288
gixw,south,2,23.236
giyp,south,5,13105.081
giyr,south,2,50.83
gizr,northeast,1,19.7964
gjen,south,1,8.06
gjit,west,4,6777.5
gjjv,northeast,1,14.844
gjjy,midwest,3,581.175
gjkf,midwest,1,1.053203306
gjkr,south,3,182.503
gjoa,west,4,1937.3825
gjpg,midwest,3,152.16
gjpl,south,1,7.012
gjrc,south,1,1.271
gjtd,south,1,5.337
gjtq,south,1,11.618
gjtw,west,4,3777.5
gjud,south,1,1.089
gjul,south,3,115.214
gjuv,midwest,3,721.959
gjwb,south,1,8.299
gjxb,midwest,1,3.581932542
gjxc,west,4,1992.25
gjxw,west,4,3854.0
gjys,west,4,4213.676
gjyz,south,3,120.589
gkab,west,4,1719.26707
gkau,south,1,6.209
gkbq,midwest,2,30.61936275
gkbw,northeast,1,12.4254
gkdt,south,1,0.762
gkdu,midwest,4,1045.8
gkeq,west,4,6797.5
gkgg,midwest,2,25.83
gkgh,south,2,20.332
gkhk,west,4,1782.586
gkkk,west,4,2121.75
gkks,midwest,1,2.572445578
gkku,south,1,1.38
gkmh,south,1,11.896
gkmq,west,4,6565.0
gkni,south,2,58.091
gknt,south,1,0.654
gkoc,northeast,1,4.024307692
gkop,midwest,2,68.04
gkos,south,3,103.112
gkqx,midwest,3,154.0
gkrf,south,3,106.501
gksi,south,1,0.581
gktd,west,4,3882.5
gkua,midwest,1,3.863459733
gkvw,northeast,1,0.816095238
gkxx,south,1,8.714
gkyl,west,4,2487.731
gkyw,west,4,3802.5
glas,midwest,3,638.528
glbt,south,1,8.206
glcr,west,4,3512.5
gldo,west,4,5542.5
glfd,south,2,37.566
glgi,midwest,2,89.775
glgt,west,4,5860.0
gljn,south,3,665.143
gljt,west,4,3344.1905
glkd,west,4,3301.25
glmu,south,2,20.89
glpv,west,4,3959.669
glqd,south,2,30.207
glqn,midwest,3,155.681
glsm,midwest,3,376.612
glsv,west,4,5987.5
gltl,west,4,2517.5
gltt,south,2,52.729
gluo,south,1,3.195
glvc,northeast,1,0.23075121
glyl,south,1,0.954
gmap,west,4,2626.5
gmau,south,2,89.158
gmbb,west,4,4607.5
gmbe,midwest,2,40.3379
gmbi,south,3,182.697
gmcm,west,4,5864.7215
gmfc,west,4,1407.0
gmfm,south,1,0.581
gmgh,south,3,525.241
gmgr,west,4,1778.986663
gmhy,midwest,4,1339.38
gmiw,northeast,1,0.84286152
gmkr,west,3,952.3465
gmlb,northeast,3,199.2358824
gmlc,south,3,219.778
gmmx,west,4,7650.0
gmui,south,2,72.614
gmvl,northeast,2,56.4
gmvx,west,4,6642.5
gmwb,south,3,159.751
gmwo,northeast,1,2.76964384
gmxe,midwest,3,573.93
gmyo,south,2,23.236
gmze,west,4,5203.652
gmzg,west,4,4360.2185
gmzk,west,4,5715.0
gmzq,west,3,996.254
gnaj,west,1,0.8
gnar,south,2,22.591
gnbi,south,1,5.113
gndb,south,1,4.357
gndh,midwest,2,64.253
gndo,west,4,5852.5
gneq,south,1,11.618
gnfm,west,4,1890.0
gnge,northeast,3,265.356
gnib,midwest,1,1.567684762
gnik,south,1,0.29
gnil,south,1,1.598
gniq,midwest,1,3.15
gnjz,south,2,35.313
gnkg,west,4,2416.088
gnlr,west,5,71813.89788
gnoq,south,2,23.24128906
gnpq,midwest,3,114.975
gnpz,west,4,5332.5
gnrh,northeast,2,42.667
gnrm,midwest,3,609.21
gnsw,south,2,25.858
gnur,south,1,0.253
gnuv,south,1,4.357
gnvh,west,4,1465.67
gnwm,midwest,1,0.27586094
gnwo,west,3,986.4845
gnwt,south,2,25.877
gnxg,west,4,1676.8625
goaf,south,3,134.699
goau,south,3,102.369
goaw,south,2,36.812
gofk,west,4,4557.5
goii,south,2,32.397
goiu,west,4,7722.5
gokp,south,1,19.364
gomg,south,1,16.122
gomp,south,3,112.31
gopy,midwest,1,1.823191489
goqw,west,4,4301.6015
gotl,south,1,9.682
gove,midwest,3,989.0
gowg,south,2,45.747
gozo,midwest,1,0.715873016
gpco,south,3,253.478
gpdo,south,1,0.581
gpek,south,2,78.138
gpep,west,4,1238.33
gpew,west,4,3842.5
gpfh,west,4,5812.5
gpfq,south,3,259.74
gpfx,south,3,122.25
gphb,south,1,3.440000057
gphh,midwest,3,895.836
gpix,northeast,1,0.825774648
gpjt,midwest,1,0.041
gplb,south,3,851.943
gpnj,south,1,18.88
gpoh,south,2,36.722
gpqg,south,1,8.81
gprz,west,4,6220.0
gpsb,south,1,14.901
gpsf,south,1,1.452
gpso,south,1,9.44
gpuq,south,1,11.618
gpvw,south,1,8.561
gpwh,west,4,5912.5
gpxd,west,4,6710.0
gpzd,northeast,3,164.8998
gpzh,south,1,0.145
gqav,west,4,5515.0
gqbc,midwest,3,423.045
gqca,south,2,26.707
gqce,south,1,3.821
gqeq,west,4,4895.0
gqfn,south,1,1.089
gqhj,northeast,1,10.78836825
gqhv,northeast,3,182.533
gqhx,west,4,3132.518
gqkk,west,2,28.1549
gqkt,south,1,2.811
gqnj,west,4,6540.0
gqpk,west,4,1123.2575
gqpp,northeast,2,27.378
gqss,south,3,895.329
gqvl,south,4,1574.269
gqvu,south,1,2.641
gqvv,west,4,1893.5
gqze,south,1,8.252
gqzh,south,1,0.589
graa,south,3,626.423
grco,south,1,6.535
grei,south,3,333.298
grha,south,1,0.726
grir,midwest,1,1.348546032
grkf,south,1,0.174
grkl,midwest,1,0.192315952
grnm,south,3,327.852
grns,south,1,0.522
grpw,south,1,7.745
grrx,south,3,131.929
grte,west,4,1211.183
grts,midwest,1,0.592339442
grvr,northeast,2,23.166
grwa,south,2,96.373
grxf,south,1,0.218
grxk,west,3,517.5485
gryd,northeast,1,0.933
grye,south,3,172.821
gryp,south,3,105.774
gsab,south,1,0.436
gsar,south,3,107.469
gsas,south,3,274.845
gsbh,south,2,88.105
gsew,south,1,13.071
gsgs,south,1,5.482
gshd,south,1,11.96
gshz,south,1,12.23
gsja,south,2,83.361
gska,west,3,340.64262
gskb,west,4,1090.6925
gskc,south,2,34.855
gskq,south,2,34.855
gsmo,south,1,1.452
gsmz,south,3,182.987
gsnj,west,4,1021.5
gsoe,south,3,116.406
gspx,midwest,4,2879.014
gsto,west,4,8377.5
gsub,south,1,0.447
gsvf,south,1,8.133
gswd,west,4,6080.0
gswy,west,4,4650.0
gsyh,west,4,3200.9045
gtcf,northeast,2,85.133
gtec,south,1,4.046
gtfa,south,3,182.987
gthv,south,3,153.941
gtjz,northeast,2,45.2
gtlo,south,3,198.478
gtmh,west,3,174.44
gtmt,west,4,4885.0
gtno,south,1,2.035
gtoa,midwest,2,64.68
gtrh,south,2,65.353
gttm,south,1,3.157
gttn,south,1,2.641
gttx,midwest,3,563.85
gtun,south,1,3.873
gtvc,west,4,1159.079
gtvu,south,1,2.178
gtwm,midwest,4,1560.0
gtxu,south,3,294.086
gtxv,south,2,73.098
guce,west,4,6600.0
gucr,south,1,1.307
gudn,northeast,1,0.068854962
gudo,northeast,1,0.043892944
gueg,south,1,2.541
guhl,northeast,3,105.3575758
guhr,south,2,24.907
guhz,south,2,29.046
guif,south,2,60.42
guip,south,2,68.418
guka,midwest,2,50.4
guku,south,1,1.779
gulf,northeast,1,3.017371746
gulk,south,1,8.625
guol,south,3,116.6999985
guoo,south,1,1.271
guoz,midwest,1,2.575722921
guqi,west,4,1041.845
guth,south,2,29.046
gutp,midwest,1,0.091846919
gutv,south,1,4.066
guul,northeast,1,4.449765011
guvu,south,3,127.494
guwo,west,4,3995.0
guxp,west,1,11.76
guym,south,3,248.158
guys,south,1,12.41
gvan,midwest,4,2238.15
gvbo,west,4,4213.676
gvbq,midwest,2,66.825
gvds,south,1,1.815
gvek,south,2,34.855
gvfm,west,4,5670.0
gvgc,south,2,99.239
gvgi,west,4,2341.1885
gvha,west,4,5277.5
gvhh,south,1,3.748
gvja,south,1,4.841
gvjd,south,1,5.337
gvki,midwest,4,1808.1
gvkp,south,3,325.31
gvlx,midwest,3,284.76
gvlz,south,3,116.182
gvmc,northeast,1,1.424210526
gvmf,west,4,6440.0
gvoa,west,4,6585.0
gvpz,west,4,2015.5385
gvti,west,4,5190.0
gvtu,south,1,5.106
gvuh,northeast,3,520.0
gvuj,south,1,5.93
gvwd,west,4,5850.0
gvxm,south,1,1.91
gvyh,south,1,9.336
gvyj,midwest,4,9925.84
gvyv,west,4,5480.4545
gvzj,south,1,6.609
gvzl,south,1,0.726
gvzu,northeast,1,17.81622137
gwbh,south,1,3.013
gwbp,south,2,35.145
gwcr,south,2,30.053
gwdi,south,1,1.452
gwdp,south,1,1.315
gwei,south,1,14.123
gweo,midwest,2,28.669229
gwgq,west,4,1960.178
gwgz,northeast,1,19.867
gwhz,south,1,6.432
gwjj,northeast,2,69.46
gwkw,south,1,0.436
gwli,west,1,0.19580763
gwmk,midwest,2,39.347
gwpi,west,1,0.72836
gwpt,midwest,2,89.801
gwqo,south,1,19.785
gwqx,west,4,4645.0
gwro,south,1,14.087
gwsr,south,2,28.319
gwxs,northeast,1,0.0
gwxt,midwest,1,0.484449044
gwyc,south,2,51.428
gwyu,south,1,1.5
gwze,northeast,5,15666.6665
gxcg,south,2,94.801
gxdf,west,4,7372.5
gxer,midwest,2,29.84457628
gxgb,south,1,0.751
gxia,west,4,1042.67
gxiu,west,4,1774.625
gxly,midwest,4,3016.125
gxna,midwest,3,336.112
gxnh,south,1,8.714
gxoa,west,4,1325.89325
gxrc,west,4,2976.206
gxrj,midwest,1,1.992537325
gxrp,south,1,9.282
gxsf,west,4,5382.5
gxsk,south,1,6.017
gxvh,south,2,35.581
gxvj,south,1,10.83
gxyc,south,2,24.21
gxzk,west,4,1913.75
gybi,west,4,4627.5
gybz,south,1,16.75
gycc,west,4,4685.0
gycd,west,1,0.933242102
gycs,west,4,4747.742
gyda,south,3,291.327
gygq,south,2,33.9
gygt,south,1,4.647
gykg,midwest,3,327.232
gyki,northeast,1,0.310637755
gymc,west,4,6287.5
gynj,south,1,1.909
gyov,south,1,9.367
gyph,south,2,30.821
gyro,west,4,2025.375
gysc,south,1,1.38
gysd,south,1,3.377
gysm,south,2,29.046
gytc,midwest,1,0.368
gyun,south,2,24.507
gyuo,south,2,23.236
gyvt,south,3,110.01
gyww,midwest,3,146.819
gyxb,south,3,162.655
gyzc,midwest,1,7.56
gzad,northeast,1,15.46852143
gzal,south,1,0.522
gzbi,west,4,3817.5
gzci,midwest,3,301.574
gzea,northeast,1,0.040557554
gzeb,south,1,3.227
gzeg,south,3,111.825
gzeo,south,1,8.445
gzeq,south,1,4.139
gzin,west,4,1544.5
gzlg,south,1,1.815
gzmu,west,4,3783.25
gznc,midwest,3,381.78
gznv,west,4,4675.0
gzox,south,1,6.1
gzpf,midwest,1,0.877
gzqp,south,1,3.817
gzrk,northeast,2,38.57054531
gzso,south,1,4.778
gzsr,south,1,5.125
gzsw,west,4,1554.875
gzta,west,3,429.5
gztn,northeast,3,110.5478516
gztz,south,3,759.68
gzug,northeast,2,72.9027
gzvh,south,1,0.726
gzwi,west,4,3235.0
gzxf,northeast,1,0.186981758
gzxl,south,2,39.938
gzxm,west,4,4480.0
gzyg,south,1,0.968
gzyl,south,1,7.676
gzzp,midwest,4,1304.1
haag,west,4,6190.0
hadi,northeast,2,53.77
hafr,west,4,6207.5
hafx,south,1,0.29
hagp,west,4,3937.5
hahm,midwest,4,1163.386
haic,midwest,2,21.159
hajh,northeast,1,0.0
hanx,midwest,2,47.25
haod,west,4,9137.5
haor,west,4,5867.5
haqo,midwest,3,771.75
hasl,south,1,19.804
haua,midwest,3,133.222
hauj,northeast,2,35.70977612
havd,south,1,3.506
havk,south,1,0.073
havx,south,1,0.094
hawl,south,1,5.486
hbal,midwest,1,0.272640828
hbea,south,1,17.981
hbfv,west,4,6450.0
hbgh,south,1,0.041953488
hbgs,south,4,1777.89
hblh,south,2,31.95
hblm,west,4,5978.699
hbmc,west,4,5304.6035
hbof,west,3,800.864
hbpg,west,4,6335.0
hbqm,south,1,3.873
hbre,northeast,1,0.0
hbse,northeast,4,3129.333
hbsl,south,3,132.157
hbso,west,4,3246.4955
hbua,south,1,0.363
hbxf,south,2,96.546
hbyg,west,1,0.264468267
hbyh,midwest,1,0.025266106
hbyj,south,2,34.684
hbyx,south,1,0.073
hcbj,south,2,91.009
hcdk,south,1,0.121
hcgz,south,4,1166.905
hchr,south,1,2.033
hcie,west,4,6187.5
hcji,west,3,810.6335
hckm,south,1,12.97
hcma,south,2,81.328
hcoj,south,3,116.182
hcop,south,1,1.452
hcpf,south,3,124.025
hcpp,south,1,0.342
hcuj,south,3,654.397
hcwq,south,1,0.968
hcxl,midwest,1,0.361859852
hcxn,northeast,2,29.85697425
hcza,south,1,7.624
hczi,west,4,2431.806668
hdca,midwest,3,514.77
hdcw,west,4,4155.0
hdgp,south,1,0.094
hdjp,south,1,9.958
hdme,south,1,10.143
hdmf,south,2,54.057
hdmt,west,4,5565.0
hdnv,south,3,715.101
hdnx,south,3,310.788
hdos,midwest,3,164.2698
hdpe,west,4,7037.5
hdpf,south,2,26.262
hdpq,south,3,302.904
hdsg,west,1,1.52
hdte,south,1,5.892
hdum,south,1,6.455
hdvk,northeast,1,3.321317829
hdvw,south,1,15.429
hdwn,south,1,0.182
hdxd,west,4,5465.0
hdxk,south,1,6.578
hdxs,south,2,32.558
hdza,midwest,2,73.96
heac,south,1,1.543
hean,west,1,8.5294
hecv,west,4,5432.5
hefe,south,1,6.337
hefj,west,4,6785.0
hefu,west,4,7607.5
hegn,south,2,35.823
hehr,west,4,6302.5
hejf,south,1,11.668
hejg,midwest,1,4.135
hekh,northeast,3,100.737
heli,south,2,27.08500973
hely,south,1,0.094
heok,west,4,2207.672
heot,west,4,8837.5
heow,west,4,1697.319998
heoz,west,4,5200.0
hepy,midwest,1,0.945
hert,south,1,0.484
hesf,south,2,69.096
hets,west,4,2070.899
hett,south,4,1672.839
heuu,south,2,43.568
heuv,south,3,167.738
hevr,south,1,1.67
hewe,south,2,49.087
hewp,south,2,49.251
hewz,west,1,0.121437517
hezd,south,1,4.841
hezm,midwest,1,2.692097449
hfba,south,3,101.659
hfbc,south,1,4.72
hfcc,south,3,206.8000031
hfgb,west,1,0.5198
hfio,midwest,3,266.58
hfjp,south,1,3.05
hfkg,south,1,5.301
hflx,midwest,2,58.8206
hfme,midwest,3,612.542
hfmj,south,1,2.561
hfna,south,1,3.297
hfnj,northeast,2,32.98277108
hfov,midwest,1,0.828
hfpi,west,4,4495.0
hfqp,south,2,70.032
hfsa,northeast,1,0.0
hfsl,west,1,4.929688497
hftd,northeast,1,0.2548752
hfte,west,4,2337.932
hfus,south,3,265.609
hfvh,midwest,3,301.14
hfvr,west,4,2417.5
hfwz,midwest,3,164.69
hfxl,south,1,0.363
hfyg,northeast,3,369.1818
hfzl,south,1,7.423
hfzo,midwest,3,380.455
hfzv,west,4,8316.866
hgbb,south,3,552.955
hgcj,south,1,5.281
hgco,south,1,1.002
hgdd,west,4,9262.5
hgdy,south,2,21.784
hgew,south,2,62.548
hggg,south,1,4.938
hghr,west,4,1764.25
hght,south,3,355.808
hgil,south,1,3.319
hgim,south,2,55.187
hgjl,south,3,115.214
hgjn,south,3,487.966
hgkr,south,2,20.983
hgna,south,1,18.607
